#,Name,SMILES,Assay Target(s),Target_Family,MolecularWeight,ExactMolWt,LogP,MolMR,TPSA,HBA,HBD,RotatableBonds,RingCount,NumAromaticRings,NumAliphaticRings,HeavyAtomCount,NumHeteroAtoms,FractionCSP3
R-BIND (SM) 0001,5FDQD,CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1,"165 ribD FMN Riboswitch Aptamer, B. subtilis ",Riboswitch,391.426,391.158,3.163,108.916,78.95,4.0,0.0,4.0,4.0,2.0,2.0,29.0,7.0,0.273
R-BIND (SM) 0001,5FDQD,CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1,,Other,391.426,391.158,3.163,108.916,78.95,4.0,0.0,4.0,4.0,2.0,2.0,29.0,7.0,0.273
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,"FMN Riboswitch Aptamer, E. coli",Riboswitch,383.501,383.165,1.293,106.125,88.0,6.0,3.0,5.0,4.0,3.0,1.0,27.0,8.0,0.368
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,"FMN Riboswitch Aptamer, F. nucleatum",Riboswitch,383.501,383.165,1.293,106.125,88.0,6.0,3.0,5.0,4.0,3.0,1.0,27.0,8.0,0.368
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other,383.501,383.165,1.293,106.125,88.0,6.0,3.0,5.0,4.0,3.0,1.0,27.0,8.0,0.368
R-BIND (SM) 0003,Ribocil-C,O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1,"FMN Riboswitch Aptamer SA1, S. aureus",Riboswitch,419.514,419.153,2.854,114.577,92.59,7.0,1.0,5.0,5.0,4.0,1.0,30.0,9.0,0.286
R-BIND (SM) 0003,Ribocil-C,O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1,"FMN Riboswitch Aptamer SA2, S. aureus",Riboswitch,419.514,419.153,2.854,114.577,92.59,7.0,1.0,5.0,5.0,4.0,1.0,30.0,9.0,0.286
R-BIND (SM) 0003,Ribocil-C,O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1,"FMN Riboswitch Aptamer, E. coli",Riboswitch,419.514,419.153,2.854,114.577,92.59,7.0,1.0,5.0,5.0,4.0,1.0,30.0,9.0,0.286
R-BIND (SM) 0003,Ribocil-C,O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1,"FMN Riboswitch, S. aureus SA1 and SA2 and E. coli",Riboswitch,419.514,419.153,2.854,114.577,92.59,7.0,1.0,5.0,5.0,4.0,1.0,30.0,9.0,0.286
R-BIND (SM) 0003,Ribocil-C,O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1,,Other,419.514,419.153,2.854,114.577,92.59,7.0,1.0,5.0,5.0,4.0,1.0,30.0,9.0,0.286
R-BIND (SM) 0004,Roseoflavin,CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO,"FMN Riboswitch, B. subtilis",Riboswitch,404.403,404.158,-2.337,104.18,163.11,9.0,4.0,6.0,3.0,1.0,2.0,29.0,11.0,0.444
R-BIND (SM) 0004,Roseoflavin,CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO,"FMN Riboswitch, S. davawensis",Riboswitch,404.403,404.158,-2.337,104.18,163.11,9.0,4.0,6.0,3.0,1.0,2.0,29.0,11.0,0.444
R-BIND (SM) 0004,Roseoflavin,CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO,"ribD FMN Riboswitch, B. subtilis, Roseoflavin-resistant Mutant 1",Riboswitch,404.403,404.158,-2.337,104.18,163.11,9.0,4.0,6.0,3.0,1.0,2.0,29.0,11.0,0.444
