"Name","SMILES","Target_Family","LogP","MolMR","TPSA","HBA","HBD","RotatableBonds","RingCount","NumAromaticRings","NumAliphaticRings","FractionCSP3","LipinskiViolations","AromaticRingFraction","FlexibilityIndex","HeteroatomFraction","TPSA_per_MW"
"5FDQD","CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1","Riboswitch",3.163,108.916,78.95,4,0,4,4,2,2,0.273,0,0.5,0.137931034482759,0.241379310344828,0.201698405317991
"5FDQD","CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1","Other",3.163,108.916,78.95,4,0,4,4,2,2,0.273,0,0.5,0.137931034482759,0.241379310344828,0.201698405317991
"Ribocil-B","CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1","Riboswitch",1.293,106.125,88,6,3,5,4,3,1,0.368,0,0.75,0.185185185185185,0.296296296296296,0.229464851460622
"Ribocil-B","CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1","Riboswitch",1.293,106.125,88,6,3,5,4,3,1,0.368,0,0.75,0.185185185185185,0.296296296296296,0.229464851460622
"Ribocil-B","CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1","Other",1.293,106.125,88,6,3,5,4,3,1,0.368,0,0.75,0.185185185185185,0.296296296296296,0.229464851460622
"Ribocil-C","O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1","Riboswitch",2.854,114.577,92.59,7,1,5,5,4,1,0.286,0,0.8,0.166666666666667,0.3,0.220707771373542
"Ribocil-C","O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1","Riboswitch",2.854,114.577,92.59,7,1,5,5,4,1,0.286,0,0.8,0.166666666666667,0.3,0.220707771373542
"Ribocil-C","O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1","Riboswitch",2.854,114.577,92.59,7,1,5,5,4,1,0.286,0,0.8,0.166666666666667,0.3,0.220707771373542
"Ribocil-C","O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1","Riboswitch",2.854,114.577,92.59,7,1,5,5,4,1,0.286,0,0.8,0.166666666666667,0.3,0.220707771373542
"Ribocil-C","O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1","Other",2.854,114.577,92.59,7,1,5,5,4,1,0.286,0,0.8,0.166666666666667,0.3,0.220707771373542
"Roseoflavin","CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO","Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Roseoflavin","CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO","Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Roseoflavin","CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO","Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Roseoflavin","CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO","Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Roseoflavin","CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO","Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Roseoflavin","CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO","Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Roseoflavin","CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO","Other",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Roseoflavin","CN(C)C1=CC2=C(C=C1C)N=C1C(=O)[N-]C(=O)N=C1N2C[C@H](O)[C@H](O)[C@H](O)CO","Other",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"2,6-Diaminopurine","NC1=NC(N)=C2NC=NC2=N1","Riboswitch",-0.483,40.508,106.5,5,3,0,2,2,0,0,0,1,0,0.545454545454545,0.709314329481501
"2,6-Diaminopurine","NC1=NC(N)=C2NC=NC2=N1","Riboswitch",-0.483,40.508,106.5,5,3,0,2,2,0,0,0,1,0,0.545454545454545,0.709314329481501
"2,6-Diaminopurine","NC1=NC(N)=C2NC=NC2=N1","Riboswitch",-0.483,40.508,106.5,5,3,0,2,2,0,0,0,1,0,0.545454545454545,0.709314329481501
"2,6-Diaminopurine","NC1=NC(N)=C2NC=NC2=N1","Riboswitch",-0.483,40.508,106.5,5,3,0,2,2,0,0,0,1,0,0.545454545454545,0.709314329481501
"2,6-Diaminopurine","NC1=NC(N)=C2NC=NC2=N1","Riboswitch",-0.483,40.508,106.5,5,3,0,2,2,0,0,0,1,0,0.545454545454545,0.709314329481501
"2,6-Diaminopurine","NC1=NC(N)=C2NC=NC2=N1","Riboswitch",-0.483,40.508,106.5,5,3,0,2,2,0,0,0,1,0,0.545454545454545,0.709314329481501
"2,6-Diaminopurine","NC1=NC(N)=C2NC=NC2=N1","Riboswitch",-0.483,40.508,106.5,5,3,0,2,2,0,0,0,1,0,0.545454545454545,0.709314329481501
"2,6-Diaminopurine","NC1=NC(N)=C2NC=NC2=N1","Other",-0.483,40.508,106.5,5,3,0,2,2,0,0,0,1,0,0.545454545454545,0.709314329481501
"Pyrithiamine","CC1=NC(N)=C(C[N+]2=CC=CC(CCO)=C2C)C=N1","Riboswitch",0.546,72.447,75.91,4,2,4,2,2,0,0.357,0,1,0.210526315789474,0.263157894736842,0.292712458499304
"Pyrithiamine","CC1=NC(N)=C(C[N+]2=CC=CC(CCO)=C2C)C=N1","Other",0.546,72.447,75.91,4,2,4,2,2,0,0.357,0,1,0.210526315789474,0.263157894736842,0.292712458499304
"2-Amino-N6-Hydroxyadenine","NC1=N\C(=N/[O-])C2=C(NC=N2)[NH2+]1","Riboswitch",-1.823,41.699,119.09,4,3,0,2,1,1,0,0,0.5,0,0.583333333333333,0.716787846687211
"2-Amino-N6-Hydroxyadenine","NC1=N\C(=N/[O-])C2=C(NC=N2)[NH2+]1","Other",-1.823,41.699,119.09,4,3,0,2,1,1,0,0,0.5,0,0.583333333333333,0.716787846687211
"PC1","NC1=NC(=O)C(N)=C(N)N1","Riboswitch",-1.484,38.095,123.81,5,4,0,1,1,0,0,0,1,0,0.6,0.877251406464778
"PC1","NC1=NC(=O)C(N)=C(N)N1","Other",-1.484,38.095,123.81,5,4,0,1,1,0,0,0,1,0,0.6,0.877251406464778
"Chelerythrine","COC1=CC=C2C(C=[N+](C)C3=C2C=CC2=CC4=C(OCO4)C=C32)=C1OC","Riboswitch",3.717,99.363,40.8,4,0,2,5,4,1,0.19,0,0.8,0.0769230769230769,0.192307692307692,0.117114169092193
"Chelerythrine","COC1=CC=C2C(C=[N+](C)C3=C2C=CC2=CC4=C(OCO4)C=C32)=C1OC","Riboswitch",3.717,99.363,40.8,4,0,2,5,4,1,0.19,0,0.8,0.0769230769230769,0.192307692307692,0.117114169092193
"Chelerythrine","COC1=CC=C2C(C=[N+](C)C3=C2C=CC2=CC4=C(OCO4)C=C32)=C1OC","Riboswitch",3.717,99.363,40.8,4,0,2,5,4,1,0.19,0,0.8,0.0769230769230769,0.192307692307692,0.117114169092193
"Chelerythrine","COC1=CC=C2C(C=[N+](C)C3=C2C=CC2=CC4=C(OCO4)C=C32)=C1OC","Riboswitch",3.717,99.363,40.8,4,0,2,5,4,1,0.19,0,0.8,0.0769230769230769,0.192307692307692,0.117114169092193
"Chelerythrine","COC1=CC=C2C(C=[N+](C)C3=C2C=CC2=CC4=C(OCO4)C=C32)=C1OC","Riboswitch",3.717,99.363,40.8,4,0,2,5,4,1,0.19,0,0.8,0.0769230769230769,0.192307692307692,0.117114169092193
