"Target_Family","LogP","MolMR","TPSA","HBA","HBD","RotatableBonds","RingCount","NumAromaticRings","NumAliphaticRings","FractionCSP3","LipinskiViolations","AromaticRingFraction","FlexibilityIndex","HeteroatomFraction","TPSA_per_MW"
"Riboswitch",3.163,108.916,78.95,4,0,4,4,2,2,0.273,0,0.5,0.137931034482759,0.241379310344828,0.201698405317991
"Other",3.163,108.916,78.95,4,0,4,4,2,2,0.273,0,0.5,0.137931034482759,0.241379310344828,0.201698405317991
"Riboswitch",1.293,106.125,88,6,3,5,4,3,1,0.368,0,0.75,0.185185185185185,0.296296296296296,0.229464851460622
"Riboswitch",1.293,106.125,88,6,3,5,4,3,1,0.368,0,0.75,0.185185185185185,0.296296296296296,0.229464851460622
"Other",1.293,106.125,88,6,3,5,4,3,1,0.368,0,0.75,0.185185185185185,0.296296296296296,0.229464851460622
"Riboswitch",2.854,114.577,92.59,7,1,5,5,4,1,0.286,0,0.8,0.166666666666667,0.3,0.220707771373542
"Riboswitch",2.854,114.577,92.59,7,1,5,5,4,1,0.286,0,0.8,0.166666666666667,0.3,0.220707771373542
"Riboswitch",2.854,114.577,92.59,7,1,5,5,4,1,0.286,0,0.8,0.166666666666667,0.3,0.220707771373542
"Riboswitch",2.854,114.577,92.59,7,1,5,5,4,1,0.286,0,0.8,0.166666666666667,0.3,0.220707771373542
"Other",2.854,114.577,92.59,7,1,5,5,4,1,0.286,0,0.8,0.166666666666667,0.3,0.220707771373542
"Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Riboswitch",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
"Other",-2.337,104.18,163.11,9,4,6,3,1,2,0.444,0,0.333333333333333,0.206896551724138,0.379310344827586,0.403335286830216
