#,Name,SMILES,Assay Target(s),Target_Family
R-BIND (SM) 0001,5FDQD,CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1,"165 ribD FMN Riboswitch Aptamer, B. subtilis ",Riboswitch
R-BIND (SM) 0001,5FDQD,CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1,"165 ribD FMN Riboswitch Aptamer, B. subtilis ",Riboswitch
R-BIND (SM) 0001,5FDQD,CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1,,Other
R-BIND (SM) 0001,5FDQD,CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1,,Other
R-BIND (SM) 0001,5FDQD,CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1,,Other
R-BIND (SM) 0001,5FDQD,CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1,,Other
R-BIND (SM) 0001,5FDQD,CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1,,Other
R-BIND (SM) 0001,5FDQD,CC(CCN1C2=CC(C)=C(C)C=C2N=C2C(=O)[N-]C(=O)N=C12)C1=CC=C(F)C=C1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,"FMN Riboswitch Aptamer, E. coli",Riboswitch
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,"FMN Riboswitch Aptamer, F. nucleatum",Riboswitch
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0002,Ribocil-B,CNC1=NC=C(C[NH+]2CCC[C@@H](C2)C2=NC(=CC(=O)N2)C2=CC=CS2)C=N1,,Other
R-BIND (SM) 0003,Ribocil-C,O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1,"FMN Riboswitch Aptamer SA1, S. aureus",Riboswitch
R-BIND (SM) 0003,Ribocil-C,O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1,"FMN Riboswitch Aptamer SA2, S. aureus",Riboswitch
R-BIND (SM) 0003,Ribocil-C,O=C1NC(=NC(=C1)C1=CC=CS1)[C@H]1CCCN(CC2=CN(C=N2)C2=NC=CC=N2)C1,"FMN Riboswitch Aptamer, E. coli",Riboswitch
