"Feature","Dropped_NZV","Dropped_Collinear","Kept"
"MolecularWeight",FALSE,TRUE,FALSE
"ExactMolWt",FALSE,TRUE,FALSE
"LogP",FALSE,FALSE,TRUE
"MolMR",FALSE,FALSE,TRUE
"TPSA",FALSE,FALSE,TRUE
"HBA",FALSE,FALSE,TRUE
"HBD",FALSE,FALSE,TRUE
"RotatableBonds",FALSE,FALSE,TRUE
"RingCount",FALSE,FALSE,TRUE
"NumAromaticRings",FALSE,FALSE,TRUE
"NumAliphaticRings",FALSE,FALSE,TRUE
"HeavyAtomCount",FALSE,TRUE,FALSE
"NumHeteroAtoms",FALSE,TRUE,FALSE
"FractionCSP3",FALSE,FALSE,TRUE
"HBondTotal",FALSE,TRUE,FALSE
"LipinskiViolations",FALSE,FALSE,TRUE
"AromaticRingFraction",FALSE,FALSE,TRUE
"FlexibilityIndex",FALSE,FALSE,TRUE
"HeteroatomFraction",FALSE,FALSE,TRUE
"TPSA_per_MW",FALSE,FALSE,TRUE
