"Model","Accuracy","Kappa","Macro_Precision","Macro_Recall","Macro_F1"
"Decision Tree (C5.0)",0.6276,0.527,0.6438,0.5968,0.6596
"Gradient Boosting Machine",0.6207,0.5161,0.6128,0.5724,0.5875
"Random Forest",0.6138,0.5155,0.5804,0.5139,0.6114
"Bagged CART",0.5931,0.4912,0.5251,0.4831,0.6352
"Neural Network (nnet)",0.5931,0.4869,0.551,0.558,0.6041
"K-Nearest Neighbors",0.5793,0.4618,0.5885,0.5335,0.5664
"Multinomial Logistic Regression",0.5103,0.3558,0.5576,0.4558,0.4752
"Linear Discriminant Analysis",0.5103,0.3546,0.4668,0.3619,0.474
"Decision Tree (CART)",0.469,0.2519,0.4851,0.2395,0.4145
"Regularized Multinomial (glmnet)",0.469,0.2965,0.5265,0.43,0.445
"Naive Bayes",0.4276,0.319,0.4415,0.5507,0.4684
"SVM (Radial Kernel)",0.3931,0.0622,0.434,0.21,0.4754
"SVM (Linear Kernel)",0.3724,0.0817,0.3199,0.1979,0.3447
