"Model","Method","Status","Seconds","Message"
"Multinomial Logistic Regression","multinom","OK",3.4,""
"Linear Discriminant Analysis","lda","OK",0.3,""
"Naive Bayes","naive_bayes","FAILED",0,"See console output above"
"K-Nearest Neighbors","knn","OK",1.1,""
"Decision Tree (CART)","rpart","OK",0.9,""
"Decision Tree (C5.0)","C5.0","FAILED",0,"See console output above"
"Bagged CART","treebag","OK",3.3,""
"Random Forest","rf","OK",22.7,""
"Gradient Boosting Machine","gbm","OK",14.8,""
"XGBoost","xgbTree","FAILED",0,"See console output above"
"AdaBoost (M1)","AdaBoost.M1","FAILED",0,"See console output above"
"SVM (Linear Kernel)","svmLinear","OK",9.5,""
"SVM (Radial Kernel)","svmRadial","OK",42.7,""
"Regularized Multinomial (glmnet)","glmnet","OK",23.8,""
"Neural Network (nnet)","nnet","OK",29.4,""
