"Model_A","Model_B","p_value"
"Multinomial Logistic Regression","Multinomial Logistic Regression",""
"Linear Discriminant Analysis","Multinomial Logistic Regression","0.8068007"
"Naive Bayes","Multinomial Logistic Regression","0.0099004"
"K-Nearest Neighbors","Multinomial Logistic Regression","0.0130659"
"Decision Tree (CART)","Multinomial Logistic Regression","1.0000000"
"Decision Tree (C5.0)","Multinomial Logistic Regression","0.0062328"
"Bagged CART","Multinomial Logistic Regression","0.0016726"
"Random Forest","Multinomial Logistic Regression","0.0007573"
"Gradient Boosting Machine","Multinomial Logistic Regression","2.585e-05"
"SVM (Linear Kernel)","Multinomial Logistic Regression","1.156e-09"
"SVM (Radial Kernel)","Multinomial Logistic Regression","7.354e-05"
"Regularized Multinomial (glmnet)","Multinomial Logistic Regression","1.0000000"
"Neural Network (nnet)","Multinomial Logistic Regression","0.0021332"
"Multinomial Logistic Regression","Linear Discriminant Analysis"," 0.0273952"
"Linear Discriminant Analysis","Linear Discriminant Analysis",""
"Naive Bayes","Linear Discriminant Analysis","0.2284927"
"K-Nearest Neighbors","Linear Discriminant Analysis","0.0025649"
"Decision Tree (CART)","Linear Discriminant Analysis","0.8077472"
"Decision Tree (C5.0)","Linear Discriminant Analysis","8.445e-06"
"Bagged CART","Linear Discriminant Analysis","2.928e-06"
"Random Forest","Linear Discriminant Analysis","3.396e-06"
"Gradient Boosting Machine","Linear Discriminant Analysis","5.591e-08"
"SVM (Linear Kernel)","Linear Discriminant Analysis","1.330e-05"
"SVM (Radial Kernel)","Linear Discriminant Analysis","0.0002308"
"Regularized Multinomial (glmnet)","Linear Discriminant Analysis","0.2050426"
"Neural Network (nnet)","Linear Discriminant Analysis","1.246e-05"
"Multinomial Logistic Regression","Naive Bayes"," 0.0720925"
"Linear Discriminant Analysis","Naive Bayes"," 0.0446973"
"Naive Bayes","Naive Bayes",""
"K-Nearest Neighbors","Naive Bayes","3.548e-05"
"Decision Tree (CART)","Naive Bayes","0.0050863"
"Decision Tree (C5.0)","Naive Bayes","1.748e-06"
"Bagged CART","Naive Bayes","1.247e-06"
"Random Forest","Naive Bayes","1.308e-07"
"Gradient Boosting Machine","Naive Bayes","4.014e-09"
"SVM (Linear Kernel)","Naive Bayes","0.1349814"
"SVM (Radial Kernel)","Naive Bayes","1.0000000"
"Regularized Multinomial (glmnet)","Naive Bayes","0.0097639"
"Neural Network (nnet)","Naive Bayes","1.566e-05"
"Multinomial Logistic Regression","K-Nearest Neighbors","-0.0463624"
"Linear Discriminant Analysis","K-Nearest Neighbors","-0.0737576"
"Naive Bayes","K-Nearest Neighbors","-0.1184549"
"K-Nearest Neighbors","K-Nearest Neighbors",""
"Decision Tree (CART)","K-Nearest Neighbors","0.7883068"
"Decision Tree (C5.0)","K-Nearest Neighbors","1.0000000"
"Bagged CART","K-Nearest Neighbors","1.0000000"
"Random Forest","K-Nearest Neighbors","0.3619439"
"Gradient Boosting Machine","K-Nearest Neighbors","0.1908773"
"SVM (Linear Kernel)","K-Nearest Neighbors","1.254e-08"
"SVM (Radial Kernel)","K-Nearest Neighbors","4.501e-07"
"Regularized Multinomial (glmnet)","K-Nearest Neighbors","0.0343260"
"Neural Network (nnet)","K-Nearest Neighbors","1.0000000"
"Multinomial Logistic Regression","Decision Tree (CART)","-0.0077766"
"Linear Discriminant Analysis","Decision Tree (CART)","-0.0351718"
"Naive Bayes","Decision Tree (CART)","-0.0798691"
"K-Nearest Neighbors","Decision Tree (CART)"," 0.0385858"
"Decision Tree (CART)","Decision Tree (CART)",""
"Decision Tree (C5.0)","Decision Tree (CART)","0.0153730"
"Bagged CART","Decision Tree (CART)","0.0215218"
"Random Forest","Decision Tree (CART)","0.0077797"
"Gradient Boosting Machine","Decision Tree (CART)","0.0006946"
"SVM (Linear Kernel)","Decision Tree (CART)","3.027e-05"
"SVM (Radial Kernel)","Decision Tree (CART)","0.0001196"
"Regularized Multinomial (glmnet)","Decision Tree (CART)","1.0000000"
"Neural Network (nnet)","Decision Tree (CART)","0.0936932"
"Multinomial Logistic Regression","Decision Tree (C5.0)","-0.0561338"
"Linear Discriminant Analysis","Decision Tree (C5.0)","-0.0835290"
"Naive Bayes","Decision Tree (C5.0)","-0.1282263"
"K-Nearest Neighbors","Decision Tree (C5.0)","-0.0097713"
"Decision Tree (CART)","Decision Tree (C5.0)","-0.0483572"
"Decision Tree (C5.0)","Decision Tree (C5.0)",""
"Bagged CART","Decision Tree (C5.0)","1.0000000"
"Random Forest","Decision Tree (C5.0)","0.8550937"
"Gradient Boosting Machine","Decision Tree (C5.0)","0.2784756"
"SVM (Linear Kernel)","Decision Tree (C5.0)","6.261e-08"
"SVM (Radial Kernel)","Decision Tree (C5.0)","2.034e-07"
"Regularized Multinomial (glmnet)","Decision Tree (C5.0)","0.0022697"
"Neural Network (nnet)","Decision Tree (C5.0)","1.0000000"
"Multinomial Logistic Regression","Bagged CART","-0.0705776"
"Linear Discriminant Analysis","Bagged CART","-0.0979728"
"Naive Bayes","Bagged CART","-0.1426701"
"K-Nearest Neighbors","Bagged CART","-0.0242152"
"Decision Tree (CART)","Bagged CART","-0.0628010"
"Decision Tree (C5.0)","Bagged CART","-0.0144438"
"Bagged CART","Bagged CART",""
"Random Forest","Bagged CART","0.4091487"
"Gradient Boosting Machine","Bagged CART","1.0000000"
"SVM (Linear Kernel)","Bagged CART","5.699e-09"
"SVM (Radial Kernel)","Bagged CART","6.191e-09"
"Regularized Multinomial (glmnet)","Bagged CART","0.0011985"
"Neural Network (nnet)","Bagged CART","1.0000000"
"Multinomial Logistic Regression","Random Forest","-0.0826781"
"Linear Discriminant Analysis","Random Forest","-0.1100733"
"Naive Bayes","Random Forest","-0.1547706"
"K-Nearest Neighbors","Random Forest","-0.0363157"
"Decision Tree (CART)","Random Forest","-0.0749015"
"Decision Tree (C5.0)","Random Forest","-0.0265443"
"Bagged CART","Random Forest","-0.0121005"
"Random Forest","Random Forest",""
"Gradient Boosting Machine","Random Forest","1.0000000"
"SVM (Linear Kernel)","Random Forest","1.050e-08"
"SVM (Radial Kernel)","Random Forest","5.259e-09"
"Regularized Multinomial (glmnet)","Random Forest","0.0008245"
"Neural Network (nnet)","Random Forest","1.0000000"
"Multinomial Logistic Regression","Gradient Boosting Machine","-0.0810796"
"Linear Discriminant Analysis","Gradient Boosting Machine","-0.1084748"
"Naive Bayes","Gradient Boosting Machine","-0.1531721"
"K-Nearest Neighbors","Gradient Boosting Machine","-0.0347172"
"Decision Tree (CART)","Gradient Boosting Machine","-0.0733030"
"Decision Tree (C5.0)","Gradient Boosting Machine","-0.0249459"
"Bagged CART","Gradient Boosting Machine","-0.0105021"
"Random Forest","Gradient Boosting Machine"," 0.0015984"
"Gradient Boosting Machine","Gradient Boosting Machine",""
"SVM (Linear Kernel)","Gradient Boosting Machine","1.406e-10"
"SVM (Radial Kernel)","Gradient Boosting Machine","7.594e-11"
"Regularized Multinomial (glmnet)","Gradient Boosting Machine","2.167e-05"
"Neural Network (nnet)","Gradient Boosting Machine","1.0000000"
"Multinomial Logistic Regression","SVM (Linear Kernel)"," 0.1283086"
"Linear Discriminant Analysis","SVM (Linear Kernel)"," 0.1009135"
"Naive Bayes","SVM (Linear Kernel)"," 0.0562162"
"K-Nearest Neighbors","SVM (Linear Kernel)"," 0.1746711"
"Decision Tree (CART)","SVM (Linear Kernel)"," 0.1360852"
"Decision Tree (C5.0)","SVM (Linear Kernel)"," 0.1844424"
"Bagged CART","SVM (Linear Kernel)"," 0.1988862"
"Random Forest","SVM (Linear Kernel)"," 0.2109867"
"Gradient Boosting Machine","SVM (Linear Kernel)"," 0.2093883"
"SVM (Linear Kernel)","SVM (Linear Kernel)",""
"SVM (Radial Kernel)","SVM (Linear Kernel)","1.0000000"
"Regularized Multinomial (glmnet)","SVM (Linear Kernel)","7.012e-09"
"Neural Network (nnet)","SVM (Linear Kernel)","7.182e-09"
"Multinomial Logistic Regression","SVM (Radial Kernel)"," 0.1023406"
"Linear Discriminant Analysis","SVM (Radial Kernel)"," 0.0749454"
"Naive Bayes","SVM (Radial Kernel)"," 0.0302481"
"K-Nearest Neighbors","SVM (Radial Kernel)"," 0.1487030"
"Decision Tree (CART)","SVM (Radial Kernel)"," 0.1101172"
"Decision Tree (C5.0)","SVM (Radial Kernel)"," 0.1584743"
"Bagged CART","SVM (Radial Kernel)"," 0.1729181"
"Random Forest","SVM (Radial Kernel)"," 0.1850186"
"Gradient Boosting Machine","SVM (Radial Kernel)"," 0.1834202"
"SVM (Linear Kernel)","SVM (Radial Kernel)","-0.0259681"
"SVM (Radial Kernel)","SVM (Radial Kernel)",""
"Regularized Multinomial (glmnet)","SVM (Radial Kernel)","2.813e-05"
"Neural Network (nnet)","SVM (Radial Kernel)","6.055e-09"
"Multinomial Logistic Regression","Regularized Multinomial (glmnet)","-0.0005714"
"Linear Discriminant Analysis","Regularized Multinomial (glmnet)","-0.0279666"
"Naive Bayes","Regularized Multinomial (glmnet)","-0.0726639"
"K-Nearest Neighbors","Regularized Multinomial (glmnet)"," 0.0457910"
"Decision Tree (CART)","Regularized Multinomial (glmnet)"," 0.0072052"
"Decision Tree (C5.0)","Regularized Multinomial (glmnet)"," 0.0555624"
"Bagged CART","Regularized Multinomial (glmnet)"," 0.0700062"
"Random Forest","Regularized Multinomial (glmnet)"," 0.0821067"
"Gradient Boosting Machine","Regularized Multinomial (glmnet)"," 0.0805082"
"SVM (Linear Kernel)","Regularized Multinomial (glmnet)","-0.1288801"
"SVM (Radial Kernel)","Regularized Multinomial (glmnet)","-0.1029120"
"Regularized Multinomial (glmnet)","Regularized Multinomial (glmnet)",""
"Neural Network (nnet)","Regularized Multinomial (glmnet)","0.0007765"
"Multinomial Logistic Regression","Neural Network (nnet)","-0.0635003"
"Linear Discriminant Analysis","Neural Network (nnet)","-0.0908955"
"Naive Bayes","Neural Network (nnet)","-0.1355928"
"K-Nearest Neighbors","Neural Network (nnet)","-0.0171379"
"Decision Tree (CART)","Neural Network (nnet)","-0.0557237"
"Decision Tree (C5.0)","Neural Network (nnet)","-0.0073665"
"Bagged CART","Neural Network (nnet)"," 0.0070773"
"Random Forest","Neural Network (nnet)"," 0.0191778"
"Gradient Boosting Machine","Neural Network (nnet)"," 0.0175793"
"SVM (Linear Kernel)","Neural Network (nnet)","-0.1918089"
"SVM (Radial Kernel)","Neural Network (nnet)","-0.1658409"
"Regularized Multinomial (glmnet)","Neural Network (nnet)","-0.0629289"
"Neural Network (nnet)","Neural Network (nnet)",""
