"Target_Family","Mean_MW","Mean_LogP","Mean_TPSA","Mean_HBA"
"G-Quadruplex",398.6565,2.56752702702703,83.9918918918919,4
"HCV IRES",490.714384615385,0.0826153846153846,104.485769230769,5.07692307692308
"HIV TAR",406.695734375,0.846265625,98.4575,3.453125
"miRNA",550.3847,5.6221,108.715,4.65
"mRNA",406.838388888889,1.74987037037037,69.4109259259259,3.31481481481481
"Other",396.550024305556,1.81028125,87.8268402777778,4.1875
"Repeat RNA",392.3479609375,1.7531796875,115.126796875,5.3984375
"Riboswitch",280.49802,0.5267,91.1114,4.58
"Ribozyme",401.147411764706,1.23776470588235,98.5770588235294,5.11764705882353
"tRNA",441.822380952381,2.0087619047619,108.256666666667,4
"Viral RNA",365.452,1.647625,86.8325,6
